"","text"
"1","obamas terrorist program pop support terrorist militias iran yemen syria iraq lebanon biden… httpstcofreeygr"
"2","rt ocoglobal china climate coronavirus key tasks biden administration commercial director garethhagan exp…"
"3"," new study cardiffunis crimesecuritycu explores chinese links spread disinformation … httpstcosyjlanjqw"
"4","rt bsindia zero tolerance policy effective april june adults illegally entered us including th…"
"5"," zero tolerance policy effective april june adults illegally entered us … httpstcocniuskiczi"
"6","rt aishpaliwal uselection joe biden races ahead donald trump georgia"
"7","rt baymads history us presidents ufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffcufuffeufufuffc usele…"
"8","rt longjohn joebiden zimbabwen ufufufufuf uselection uspresidentialelections uselectionresults corruptjoebiden joebiden…"
"9","rt coinshark go u giveaway winners ufbuf like rt tweet uufefuf sign httpstcomalqayuw also…"
"10"," know love jesus christ laid life us niv bible john uselection… httpstcopdsad"
"11"," scary stuff twitterbots spreading fakenews uselection httpstcoyewsmdkbwk"
"12","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"13","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"14","rt masroorabbasi heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz nawazshari…"
"15","heloooo ivankatrump secret videos joebiden u can dm u need friend mayam nawaz… httpstcofgxjxzy"
"16","rt wbgsexcellence talent students shines read great article sixth former nathan presidential e…"
"17","uselection biden ’s quite sad watch superpower country becoming something jerry springer show"
"18","rt kathyconwom various institutions media judiciary legislature states looked fraud…"
"19","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
"20","rt neelumnawab maine’s susan collins reelected making almost impossible democrats win senate democrats uselecti…"
"21","rt neelumnawab president trump’s lead pennsylvania become shaky points less points biden wins penn…"
"22","facebook let researchers access election ad data advertising uselection httpstcovpycpxnie"
"23","trumpadministration former secretary state mikepompeo joins conservative hudsoninstitute dc pakustv… httpstcoiiojfwmsh"
"24","rt thaguru still greatest proposal video ever watched internet icon valrma fajr borat uselection httpstco…"
"25","china climate coronavirus key tasks biden administration commercial director… httpstcoqaiqver"
"26","rt twistbyformatio kings collections white howlite spun gold price sendadm today chat call via whatsapp …"
"27","dear twittersupport please look tweet responses promoting false information … httpstcowuitoxrul"
"28","rt wionews gravitas watch former white house stenographer mike mccormick speak wions palkisu uselection tonight …"
"29"," justiceoig announced investigation whether prior members doj attempted alter result… httpstcolzpfytpd"
"30","nytimes someone put right can trump impeached longer president trumpslastday trump uselection"
"31","httpstcoiydyjglep nice cover capitolhill policechief gr trap set protrumpers fell ri … httpstcouzycjhvnnt"
"32","rt chrisburke go eleven dunkin donuts unless slight indian accent joking joe biden usel…"
"33"," nuclear football important twitter handle uf potus uselection"
"34","rt ixi always uselection trump climate climatecrisis climateemergency latter still trending us…"
"35"," always uselection trump climate climatecrisis climateemergency latter still tre… httpstcooxvyuvxv"
"36","comment year ufufufuf bidenharris trump uselection httpstcoaoetrzqtx"
"37","anyone figure connection pillow uspresidency following … httpstcocrvlmdm"
"38"," talent students shines read great article sixth former nathan presidenti… httpstcouggpecgzv"
"39","rt bettinaforget data visualization insights land vote people uselection httpstcomjwkpftosx"
