"","x"
"1","RT @marceelias: Despicable conduct by a member of Congress. The Ethics Committee must take action.
https://t.co/85fUw2Ms9s"
"2","RT @healer_music: @Outkick @seanmdav Really?!? But it was fair for a National US presidential election."
"3","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"4","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"5","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"6","RT @sitsio: 81 million votes. Most popular President in US history (except on YouTube)  
You would think the democrats would fake some like…"
"7","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"8","More evidence of illegitimate Trumpian #lawfare intended to undermine the #ruleoflaw planned, but never carried out… https://t.co/q4BRCIexNo"
"9","RT @ktbenner: The Congressman who helped Jeff Clark devise the plan to interject the DOJ into the Georgia election results, setting off a D…"
"10","RT @DrEricDing: BREAKING—NYT reports that right-wing PA congressman @RepScottPerry played a key role in Trump’s plot to oust the acting att…"
"11","RT @Alan__020: All the ass licking fools in the UK applauding Bidens fraudulent election win,will soon realise that the old fool hates the…"
"12","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"13","RT @jaketapper: NYT IDs <U+2066>@RepScottPerry<U+2069> as the PA GOPer who introduced Trump to DOJ official Jeffrey Clark, “whose openness to conspiracy…"
"14","RT @kushajay21: #VDO2018Joining_B4Holi
Sir in the lack of we the Departmental officers how could be the panchayat election possible... So s…"
"15","RT @nycsouthpaw: Who exactly did this? https://t.co/JsHZ2jXE5i https://t.co/49I1qVdUku"
"16","RT @chrislhayes: One thing becomes clearer and clearer by the day, which is that if it had come down to only one state, they probably would…"
"17","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"18","RT @donwinslow: Trump and Justice Dept. Lawyer Said to Have Plotted to Oust Acting Attorney General https://t.co/lBEkOnnoUm"
"19","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
"20","RT @ejeancarroll: Is this the foul chump who dreamed up the idea of giving my case to the DOJ?  Jeff Clark signed the motion the VERY day T…"
"21","RT @JoshShapiroPA: Representative Perry ought to familiarize himself with Section 3 of the 14th Amendment of our Constitution. 

There must…"
"22","RT @GMShivers: In case you had any doubts the US election was anything but the safest most secure election in history, first bill being pas…"
"23","RT @kylegriffin1: Breaking NYT: Pennsylvania Republican Rep. Scott Perry played a significant role in the crisis that played out at the Jus…"
"24","RT @MollyJongFast: Oh wow, they really did try to coup https://t.co/hHYTF6wmcQ"
